"month","year","logan2013","bear2015","weber2014"
12,838,NA,3.043,NA
1,839,NA,3.043,NA
2,839,NA,3.043,NA
3,839,NA,3.043,NA
4,839,NA,3.043,NA
5,839,NA,3.043,NA
6,839,NA,3.043,NA
7,839,NA,3.043,NA
8,839,NA,3.043,NA
9,839,NA,3.043,NA
10,839,NA,4.787,NA
11,839,NA,4.787,NA
12,839,NA,4.787,NA
1,840,NA,4.787,NA
2,840,NA,4.787,NA
3,840,NA,4.787,NA
4,840,NA,4.787,NA
5,840,NA,4.787,NA
6,840,NA,4.787,NA
7,840,NA,4.787,NA
8,840,NA,4.787,NA
9,840,NA,4.787,NA
10,840,NA,3.791,NA
11,840,NA,3.791,NA
12,840,NA,3.791,NA
1,841,NA,3.791,NA
2,841,NA,3.791,NA
3,841,NA,3.791,NA
4,841,NA,3.791,NA
5,841,NA,3.791,NA
6,841,NA,3.791,NA
7,841,NA,3.791,NA
8,841,NA,3.791,NA
9,841,NA,3.791,NA
10,841,NA,3.013,NA
11,841,NA,3.013,NA
12,841,NA,3.013,NA
1,842,NA,3.013,NA
2,842,NA,3.013,NA
3,842,NA,3.013,NA
4,842,NA,3.013,NA
5,842,NA,3.013,NA
6,842,NA,3.013,NA
7,842,NA,3.013,NA
8,842,NA,3.013,NA
9,842,NA,3.013,NA
10,842,NA,3.993,NA
11,842,NA,3.993,NA
12,842,NA,3.993,NA
1,843,NA,3.993,NA
2,843,NA,3.993,NA
3,843,NA,3.993,NA
4,843,NA,3.993,NA
5,843,NA,3.993,NA
6,843,NA,3.993,NA
7,843,NA,3.993,NA
8,843,NA,3.993,NA
9,843,NA,3.993,NA
10,843,NA,4.141,NA
11,843,NA,4.141,NA
12,843,NA,4.141,NA
1,844,NA,4.141,NA
2,844,NA,4.141,NA
3,844,NA,4.141,NA
4,844,NA,4.141,NA
5,844,NA,4.141,NA
6,844,NA,4.141,NA
7,844,NA,4.141,NA
8,844,NA,4.141,NA
9,844,NA,4.141,NA
10,844,NA,3.949,NA
11,844,NA,3.949,NA
12,844,NA,3.949,NA
1,845,NA,3.949,NA
2,845,NA,3.949,NA
3,845,NA,3.949,NA
4,845,NA,3.949,NA
5,845,NA,3.949,NA
6,845,NA,3.949,NA
7,845,NA,3.949,NA
8,845,NA,3.949,NA
9,845,NA,3.949,NA
10,845,NA,4.08,NA
11,845,NA,4.08,NA
12,845,NA,4.08,NA
1,846,NA,4.08,NA
2,846,NA,4.08,NA
3,846,NA,4.08,NA
4,846,NA,4.08,NA
5,846,NA,4.08,NA
6,846,NA,4.08,NA
7,846,NA,4.08,NA
8,846,NA,4.08,NA
9,846,NA,4.08,NA
10,846,NA,4.162,NA
11,846,NA,4.162,NA
12,846,NA,4.162,NA
1,847,NA,4.162,NA
2,847,NA,4.162,NA
3,847,NA,4.162,NA
4,847,NA,4.162,NA
5,847,NA,4.162,NA
6,847,NA,4.162,NA
7,847,NA,4.162,NA
8,847,NA,4.162,NA
9,847,NA,4.162,NA
10,847,NA,4.964,NA
11,847,NA,4.964,NA
12,847,NA,4.964,NA
1,848,NA,4.964,NA
2,848,NA,4.964,NA
3,848,NA,4.964,NA
4,848,NA,4.964,NA
5,848,NA,4.964,NA
6,848,NA,4.964,NA
7,848,NA,4.964,NA
8,848,NA,4.964,NA
9,848,NA,4.964,NA
10,848,NA,4.497,NA
11,848,NA,4.497,NA
12,848,NA,4.497,NA
1,849,NA,4.497,NA
2,849,NA,4.497,NA
3,849,NA,4.497,NA
4,849,NA,4.497,NA
5,849,NA,4.497,NA
6,849,NA,4.497,NA
7,849,NA,4.497,NA
8,849,NA,4.497,NA
9,849,NA,4.497,NA
10,849,NA,5.291,NA
11,849,NA,5.291,NA
12,849,NA,5.291,NA
1,850,NA,5.291,NA
2,850,NA,5.291,NA
3,850,NA,5.291,NA
4,850,NA,5.291,NA
5,850,NA,5.291,NA
6,850,NA,5.291,NA
7,850,NA,5.291,NA
8,850,NA,5.291,NA
9,850,NA,5.291,NA
10,850,NA,4.838,NA
11,850,NA,4.838,NA
12,850,NA,4.838,NA
1,851,NA,4.838,NA
2,851,NA,4.838,NA
3,851,NA,4.838,NA
4,851,NA,4.838,NA
5,851,NA,4.838,NA
6,851,NA,4.838,NA
7,851,NA,4.838,NA
8,851,NA,4.838,NA
9,851,NA,4.838,NA
10,851,NA,5.263,NA
11,851,NA,5.263,NA
12,851,NA,5.263,NA
1,852,NA,5.263,NA
2,852,NA,5.263,NA
3,852,NA,5.263,NA
4,852,NA,5.263,NA
5,852,NA,5.263,NA
6,852,NA,5.263,NA
7,852,NA,5.263,NA
8,852,NA,5.263,NA
9,852,NA,5.263,NA
10,852,NA,5.454,NA
11,852,NA,5.454,NA
12,852,NA,5.454,NA
1,853,NA,5.454,NA
2,853,NA,5.454,NA
3,853,NA,5.454,NA
4,853,NA,5.454,NA
5,853,NA,5.454,NA
6,853,NA,5.454,NA
7,853,NA,5.454,NA
8,853,NA,5.454,NA
9,853,NA,5.454,NA
10,853,NA,5.266,NA
11,853,NA,5.266,NA
12,853,NA,5.266,NA
1,854,NA,5.266,NA
2,854,NA,5.266,NA
3,854,NA,5.266,NA
4,854,NA,5.266,NA
5,854,NA,5.266,NA
6,854,NA,5.266,NA
7,854,NA,5.266,NA
8,854,NA,5.266,NA
9,854,NA,5.266,NA
10,854,NA,3.723,NA
11,854,NA,3.723,NA
12,854,NA,3.723,NA
1,855,NA,3.723,NA
2,855,NA,3.723,NA
3,855,NA,3.723,NA
4,855,NA,3.723,NA
5,855,NA,3.723,NA
6,855,NA,3.723,NA
7,855,NA,3.723,NA
8,855,NA,3.723,NA
9,855,NA,3.723,NA
10,855,NA,4.624,NA
11,855,NA,4.624,NA
12,855,NA,4.624,NA
1,856,NA,4.624,NA
2,856,NA,4.624,NA
3,856,NA,4.624,NA
4,856,NA,4.624,NA
5,856,NA,4.624,NA
6,856,NA,4.624,NA
7,856,NA,4.624,NA
8,856,NA,4.624,NA
9,856,NA,4.624,NA
10,856,NA,4.766,NA
11,856,NA,4.766,NA
12,856,NA,4.766,NA
1,857,NA,4.766,NA
2,857,NA,4.766,NA
3,857,NA,4.766,NA
4,857,NA,4.766,NA
5,857,NA,4.766,NA
6,857,NA,4.766,NA
7,857,NA,4.766,NA
8,857,NA,4.766,NA
9,857,NA,4.766,NA
10,857,NA,6.284,NA
11,857,NA,6.284,NA
12,857,NA,6.284,NA
1,858,NA,6.284,NA
2,858,NA,6.284,NA
3,858,NA,6.284,NA
4,858,NA,6.284,NA
5,858,NA,6.284,NA
6,858,NA,6.284,NA
7,858,NA,6.284,NA
8,858,NA,6.284,NA
9,858,NA,6.284,NA
10,858,NA,6.069,NA
11,858,NA,6.069,NA
12,858,NA,6.069,NA
1,859,NA,6.069,NA
2,859,NA,6.069,NA
3,859,NA,6.069,NA
4,859,NA,6.069,NA
5,859,NA,6.069,NA
6,859,NA,6.069,NA
7,859,NA,6.069,NA
8,859,NA,6.069,NA
9,859,NA,6.069,NA
10,859,NA,5.427,NA
11,859,NA,5.427,NA
12,859,NA,5.427,NA
1,860,NA,5.427,NA
2,860,NA,5.427,NA
3,860,NA,5.427,NA
4,860,NA,5.427,NA
5,860,NA,5.427,NA
6,860,NA,5.427,NA
7,860,NA,5.427,NA
8,860,NA,5.427,NA
9,860,NA,5.427,NA
10,860,NA,4.668,NA
11,860,NA,4.668,NA
12,860,NA,4.668,NA
1,861,NA,4.668,NA
2,861,NA,4.668,NA
3,861,NA,4.668,NA
4,861,NA,4.668,NA
5,861,NA,4.668,NA
6,861,NA,4.668,NA
7,861,NA,4.668,NA
8,861,NA,4.668,NA
9,861,NA,4.668,NA
10,861,NA,4.283,NA
11,861,NA,4.283,NA
12,861,NA,4.283,NA
1,862,NA,4.283,NA
2,862,NA,4.283,NA
3,862,NA,4.283,NA
4,862,NA,4.283,NA
5,862,NA,4.283,NA
6,862,NA,4.283,NA
7,862,NA,4.283,NA
8,862,NA,4.283,NA
9,862,NA,4.283,NA
10,862,NA,4.359,NA
11,862,NA,4.359,NA
12,862,NA,4.359,NA
1,863,NA,4.359,NA
2,863,NA,4.359,NA
3,863,NA,4.359,NA
4,863,NA,4.359,NA
5,863,NA,4.359,NA
6,863,NA,4.359,NA
7,863,NA,4.359,NA
8,863,NA,4.359,NA
9,863,NA,4.359,NA
10,863,NA,4.164,NA
11,863,NA,4.164,NA
12,863,NA,4.164,NA
1,864,NA,4.164,NA
2,864,NA,4.164,NA
3,864,NA,4.164,NA
4,864,NA,4.164,NA
5,864,NA,4.164,NA
6,864,NA,4.164,NA
7,864,NA,4.164,NA
8,864,NA,4.164,NA
9,864,NA,4.164,NA
10,864,NA,3.268,NA
11,864,NA,3.268,NA
12,864,NA,3.268,NA
1,865,NA,3.268,NA
2,865,NA,3.268,NA
3,865,NA,3.268,NA
4,865,NA,3.268,NA
5,865,NA,3.268,NA
6,865,NA,3.268,NA
7,865,NA,3.268,NA
8,865,NA,3.268,NA
9,865,NA,3.268,NA
10,865,NA,4.33,NA
11,865,NA,4.33,NA
12,865,NA,4.33,NA
1,866,NA,4.33,NA
2,866,NA,4.33,NA
3,866,NA,4.33,NA
4,866,NA,4.33,NA
5,866,NA,4.33,NA
6,866,NA,4.33,NA
7,866,NA,4.33,NA
8,866,NA,4.33,NA
9,866,NA,4.33,NA
10,866,NA,3.204,NA
11,866,NA,3.204,NA
12,866,NA,3.204,NA
1,867,NA,3.204,NA
2,867,NA,3.204,NA
3,867,NA,3.204,NA
4,867,NA,3.204,NA
5,867,NA,3.204,NA
6,867,NA,3.204,NA
7,867,NA,3.204,NA
8,867,NA,3.204,NA
9,867,NA,3.204,NA
10,867,NA,3.23,NA
11,867,NA,3.23,NA
12,867,NA,3.23,NA
1,868,NA,3.23,NA
2,868,NA,3.23,NA
3,868,NA,3.23,NA
4,868,NA,3.23,NA
5,868,NA,3.23,NA
6,868,NA,3.23,NA
7,868,NA,3.23,NA
8,868,NA,3.23,NA
9,868,NA,3.23,NA
10,868,NA,4.057,NA
11,868,NA,4.057,NA
12,868,NA,4.057,NA
1,869,NA,4.057,NA
2,869,NA,4.057,NA
3,869,NA,4.057,NA
4,869,NA,4.057,NA
5,869,NA,4.057,NA
6,869,NA,4.057,NA
7,869,NA,4.057,NA
8,869,NA,4.057,NA
9,869,NA,4.057,NA
10,869,NA,4.276,NA
11,869,NA,4.276,NA
12,869,NA,4.276,NA
1,870,NA,4.276,NA
2,870,NA,4.276,NA
3,870,NA,4.276,NA
4,870,NA,4.276,NA
5,870,NA,4.276,NA
6,870,NA,4.276,NA
7,870,NA,4.276,NA
8,870,NA,4.276,NA
9,870,NA,4.276,NA
10,870,NA,4.775,NA
11,870,NA,4.775,NA
12,870,NA,4.775,NA
1,871,NA,4.775,NA
2,871,NA,4.775,NA
3,871,NA,4.775,NA
4,871,NA,4.775,NA
5,871,NA,4.775,NA
6,871,NA,4.775,NA
7,871,NA,4.775,NA
8,871,NA,4.775,NA
9,871,NA,4.775,NA
10,871,NA,3.379,NA
11,871,NA,3.379,NA
12,871,NA,3.379,NA
1,872,NA,3.379,NA
2,872,NA,3.379,NA
3,872,NA,3.379,NA
4,872,NA,3.379,NA
5,872,NA,3.379,NA
6,872,NA,3.379,NA
7,872,NA,3.379,NA
8,872,NA,3.379,NA
9,872,NA,3.379,NA
10,872,NA,2.578,NA
11,872,NA,2.578,NA
12,872,NA,2.578,NA
1,873,NA,2.578,NA
2,873,NA,2.578,NA
3,873,NA,2.578,NA
4,873,NA,2.578,NA
5,873,NA,2.578,NA
6,873,NA,2.578,NA
7,873,NA,2.578,NA
8,873,NA,2.578,NA
9,873,NA,2.578,NA
10,873,NA,3.953,NA
11,873,NA,3.953,NA
12,873,NA,3.953,NA
1,874,NA,3.953,NA
2,874,NA,3.953,NA
3,874,NA,3.953,NA
4,874,NA,3.953,NA
5,874,NA,3.953,NA
6,874,NA,3.953,NA
7,874,NA,3.953,NA
8,874,NA,3.953,NA
9,874,NA,3.953,NA
10,874,NA,5.235,NA
11,874,NA,5.235,NA
12,874,NA,5.235,NA
1,875,NA,5.235,NA
2,875,NA,5.235,NA
3,875,NA,5.235,NA
4,875,NA,5.235,NA
5,875,NA,5.235,NA
6,875,NA,5.235,NA
7,875,NA,5.235,NA
8,875,NA,5.235,NA
9,875,NA,5.235,NA
10,875,NA,5.054,NA
11,875,NA,5.054,NA
12,875,NA,5.054,NA
1,876,NA,5.054,NA
2,876,NA,5.054,NA
3,876,NA,5.054,NA
4,876,NA,5.054,NA
5,876,NA,5.054,NA
6,876,NA,5.054,NA
7,876,NA,5.054,NA
8,876,NA,5.054,NA
9,876,NA,5.054,NA
10,876,NA,5.937,NA
11,876,NA,5.937,NA
12,876,NA,5.937,NA
1,877,NA,5.937,NA
2,877,NA,5.937,NA
3,877,NA,5.937,NA
4,877,NA,5.937,NA
5,877,NA,5.937,NA
6,877,NA,5.937,NA
7,877,NA,5.937,NA
8,877,NA,5.937,NA
9,877,NA,5.937,NA
10,877,NA,7.068,NA
11,877,NA,7.068,NA
12,877,NA,7.068,NA
1,878,NA,7.068,NA
2,878,NA,7.068,NA
3,878,NA,7.068,NA
4,878,NA,7.068,NA
5,878,NA,7.068,NA
6,878,NA,7.068,NA
7,878,NA,7.068,NA
8,878,NA,7.068,NA
9,878,NA,7.068,NA
10,878,NA,6.775,NA
11,878,NA,6.775,NA
12,878,NA,6.775,NA
1,879,NA,6.775,NA
2,879,NA,6.775,NA
3,879,NA,6.775,NA
4,879,NA,6.775,NA
5,879,NA,6.775,NA
6,879,NA,6.775,NA
7,879,NA,6.775,NA
8,879,NA,6.775,NA
9,879,NA,6.775,NA
10,879,NA,5.851,NA
11,879,NA,5.851,NA
12,879,NA,5.851,NA
1,880,NA,5.851,NA
2,880,NA,5.851,NA
3,880,NA,5.851,NA
4,880,NA,5.851,NA
5,880,NA,5.851,NA
6,880,NA,5.851,NA
7,880,NA,5.851,NA
8,880,NA,5.851,NA
9,880,NA,5.851,NA
10,880,NA,6.419,NA
11,880,NA,6.419,NA
12,880,NA,6.419,NA
1,881,NA,6.419,NA
2,881,NA,6.419,NA
3,881,NA,6.419,NA
4,881,NA,6.419,NA
5,881,NA,6.419,NA
6,881,NA,6.419,NA
7,881,NA,6.419,NA
8,881,NA,6.419,NA
9,881,NA,6.419,NA
10,881,NA,4.374,NA
